PIB Municipal - preços de mercado (preços de 2010)
Sigla,Código,Meso-região,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,
GO,5204,Leste Goiano,6366843.40372977,6976728.04739083,7453221.3087987,7564413.14130028,7712145.64603072,8552410.15204348,9189221.45704311,9671469.19565509,10208749.573,10926884.7882455,11823130.8649696,12371475.250574,12436023.5499364,12519678.6904515,12798145.7163196,12443886.0151056,12581573.7770397,13207941.5943403,13744770.1067279,14727327.9567065,
GO,5205,Sul Goiano,24916109.6701813,26331277.6111681,27362482.7143001,24857694.1593092,24980484.483094,27197178.664676,30648957.9272286,31604598.7723082,32144841.452,33527939.8837035,37029907.401996,37714921.0819583,35843463.2410896,35820859.4712581,36332818.0665947,36533299.3380614,35281158.2455019,35880193.1221126,37904760.6550496,43210666.6145492,
MA,2101,Norte Maranhense,14628529.1130887,15025799.1065164,16099593.4196457,17505543.4955491,20209861.1766601,19310805.1895651,21616243.6580711,21634629.9073145,24055758.496,24892517.1059555,26210820.234334,25541285.9753061,27896377.4897679,25959507.829773,26022711.4846032,26158788.0089698,27599744.7502891,25686264.6766542,25078336.5912954,25284744.5690052,
MA,2102,Oeste Maranhense,6454374.48722492,7023230.87189212,7194706.28010762,7503469.18847796,8394708.32066195,8018395.76862902,8570559.43676658,8445316.31743797,8635888.94,9121742.35798762,10118483.5664359,10777987.5039726,11319494.5013025,11348064.8713062,11851455.3199177,11182500.4055364,11491408.8307257,11242174.505232,11457613.8452949,12439064.8800801,
MA,2103,Centro Maranhense,2942523.40958523,3044825.68328438,3126577.78754246,3151996.19643329,3412382.95479924,3386260.71807769,3913519.52976042,4035717.49517294,3982611.584,4217776.29898537,4330679.68525288,5906192.76006684,5433000.22606783,5219710.93205892,5498226.0373326,5742515.47269256,6045393.66416849,5834327.53865292,6086318.16465658,6673644.28079562,
MA,2104,Leste Maranhense,4106738.00530142,4607268.59933219,4890542.10162754,4912220.35019259,5489764.36504602,5308359.07532847,5819016.89984816,5996800.73298971,5873304.954,6111832.44574124,6226486.67660271,6433964.58428301,6981352.11601043,6610209.1576975,6885911.13511253,6898729.47129955,7077898.29149538,6863461.62043975,7074838.41374601,7374508.05807022,
MA,2105,Sul Maranhense,2119391.67252774,2773431.38592369,2882080.62427311,3037350.14928443,2518466.8472278,2871301.13189672,4216095.44827734,4335217.58231742,3762069.135,3795176.30610947,4848757.18267706,5196146.91466165,5054626.76731312,4680722.63767499,3861028.36521335,4810311.88979861,5279855.32408119,5066083.89610411,6723824.90068381,7443291.36029891,
MG,3101,Noroeste de Minas,3698010.70843138,4093114.1057817,4351721.73825081,4490958.43142703,4133665.04226445,4488510.83864882,5023642.7882489,4975522.78530674,5700623.475,6745576.73002186,7253734.94932138,7388330.65974621,7006412.88007932,6794274.8123747,7452850.54649232,7201791.15617663,7906698.25208517,7807824.8230616,8614440.27396831,9898671.79881522,
MG,3102,Norte de Minas,9357463.6804696,9495237.35632148,10296480.1619611,10991716.4070141,11361810.0533182,12258658.7422414,12756865.2308874,12420072.9239922,13261610.157,14038100.5933698,16205814.0591626,15217586.1691375,15389152.8300868,14590931.8937758,15026676.5086069,14931175.1553617,15424218.1920007,15574316.3064608,15374993.4648313,15962144.4596533,
MG,3103,Jequitinhonha,2840047.40023388,3022870.86964285,2956877.35164671,3097883.92737685,3196984.46038199,3436157.82238739,3582818.02871642,3593238.66703035,3868211.162,4051705.52266231,4215126.4330475,4426999.48202134,4781750.79605889,4774899.17083329,4392280.44981913,4527145.50251051,4641109.01719914,4809773.81390118,4782335.3652026,4813275.66299333,
